Using device: cuda
Document table: docs
Document id column: id
Document text column: text
Loaded queries: 808731
Trainable parameters: 335143938
Total model parameters: 335143938
Trainable percentage: 100.0
Batch size: 8
Accumulation steps: 16
Effective batch size: 128
Step 30100/100000 | loss = 0.1299
Step 30200/100000 | loss = 0.1480
Step 30300/100000 | loss = 0.1188
Step 30400/100000 | loss = 0.1487
Step 30500/100000 | loss = 0.1244
Step 30600/100000 | loss = 0.1535
Step 30700/100000 | loss = 0.1272
Step 30800/100000 | loss = 0.1183
Step 30900/100000 | loss = 0.1582
Step 31000/100000 | loss = 0.1482
Step 31100/100000 | loss = 0.1680
Step 31200/100000 | loss = 0.1336
Step 31300/100000 | loss = 0.1307
Step 31400/100000 | loss = 0.1146
Step 31500/100000 | loss = 0.1565
Step 31600/100000 | loss = 0.1220
Step 31700/100000 | loss = 0.1307
Step 31800/100000 | loss = 0.1327
Step 31900/100000 | loss = 0.1254
Step 32000/100000 | loss = 0.1231
Step 32100/100000 | loss = 0.0830
Step 32200/100000 | loss = 0.1253
Step 32300/100000 | loss = 0.1323
Step 32400/100000 | loss = 0.1145
Step 32500/100000 | loss = 0.1314
Step 32600/100000 | loss = 0.1244
Step 32700/100000 | loss = 0.1311
Step 32800/100000 | loss = 0.1175
Step 32900/100000 | loss = 0.1345
Step 33000/100000 | loss = 0.1371
Step 33100/100000 | loss = 0.0888
Step 33200/100000 | loss = 0.1327
Step 33300/100000 | loss = 0.1229
Step 33400/100000 | loss = 0.0932
Step 33500/100000 | loss = 0.1046
Step 33600/100000 | loss = 0.1462
Step 33700/100000 | loss = 0.1591
Step 33800/100000 | loss = 0.1165
Step 33900/100000 | loss = 0.1463
Step 34000/100000 | loss = 0.1576
Step 34100/100000 | loss = 0.1300
Step 34200/100000 | loss = 0.1323
Step 34300/100000 | loss = 0.0981
Step 34400/100000 | loss = 0.1313
Step 34500/100000 | loss = 0.1215
Step 34600/100000 | loss = 0.1215
Step 34700/100000 | loss = 0.1226
Step 34800/100000 | loss = 0.1176
Step 34900/100000 | loss = 0.1124
Step 35000/100000 | loss = 0.1077
Saved checkpoint at step 35000: outputs/full_monobert/latest/checkpoint.pt
Step 35100/100000 | loss = 0.1388
Step 35200/100000 | loss = 0.1133
Step 35300/100000 | loss = 0.1349
Step 35400/100000 | loss = 0.1349
Step 35500/100000 | loss = 0.1120
Step 35600/100000 | loss = 0.1198
Step 35700/100000 | loss = 0.1338
Step 35800/100000 | loss = 0.1025
Step 35900/100000 | loss = 0.1165
Step 36000/100000 | loss = 0.1157
Step 36100/100000 | loss = 0.1442
Step 36200/100000 | loss = 0.1065
Step 36300/100000 | loss = 0.1545
Step 36400/100000 | loss = 0.1360
Step 36500/100000 | loss = 0.1717
Step 36600/100000 | loss = 0.0946
Step 36700/100000 | loss = 0.1455
Step 36800/100000 | loss = 0.1368
Step 36900/100000 | loss = 0.1068
Step 37000/100000 | loss = 0.1253
Step 37100/100000 | loss = 0.1142
Step 37200/100000 | loss = 0.0860
Step 37300/100000 | loss = 0.1073
Step 37400/100000 | loss = 0.1108
Step 37500/100000 | loss = 0.1526
Step 37600/100000 | loss = 0.0963
Step 37700/100000 | loss = 0.1342
Step 37800/100000 | loss = 0.1536
Step 37900/100000 | loss = 0.1134
Step 38000/100000 | loss = 0.1563
Step 38100/100000 | loss = 0.1218
Step 38200/100000 | loss = 0.1500
Step 38300/100000 | loss = 0.1223
Step 38400/100000 | loss = 0.1259
Step 38500/100000 | loss = 0.1588
Step 38600/100000 | loss = 0.1108
Step 38700/100000 | loss = 0.1350
Step 38800/100000 | loss = 0.1379
Step 38900/100000 | loss = 0.1397
Step 39000/100000 | loss = 0.1074
Step 39100/100000 | loss = 0.1206
Step 39200/100000 | loss = 0.1194
Step 39300/100000 | loss = 0.1074
Step 39400/100000 | loss = 0.1204
Step 39500/100000 | loss = 0.1422
Step 39600/100000 | loss = 0.1148
Step 39700/100000 | loss = 0.0998
Step 39800/100000 | loss = 0.1061
Step 39900/100000 | loss = 0.1082
Step 40000/100000 | loss = 0.1311
Saved checkpoint at step 40000: outputs/full_monobert/latest/checkpoint.pt
Step 40100/100000 | loss = 0.1294
Step 40200/100000 | loss = 0.1386
Step 40300/100000 | loss = 0.1268
Step 40400/100000 | loss = 0.1193
Step 40500/100000 | loss = 0.1373
Step 40600/100000 | loss = 0.1306
Step 40700/100000 | loss = 0.1189
Step 40800/100000 | loss = 0.1504
Step 40900/100000 | loss = 0.1526
Step 41000/100000 | loss = 0.1410
Step 41100/100000 | loss = 0.1323
Step 41200/100000 | loss = 0.1223
Step 41300/100000 | loss = 0.0937
Step 41400/100000 | loss = 0.1212
Step 41500/100000 | loss = 0.0965
